MonthOfYear,DayOfWeek,HourOfDay,SupVentSpeed_AirHandling_System,ExhVentSp_AirHandling_System
1,2,21,4,3
1,2,21,4,3
1,2,22,4,3
1,2,22,4,3
1,2,22,4,3
1,2,22,4,3
1,2,22,4,3
1,2,22,3,3
1,2,22,4,3
1,2,22,4,3
1,2,23,4,3
1,2,23,4,3
1,2,23,3,3
1,2,23,4,3
1,2,23,4,3
1,2,23,4,3
1,2,23,3,3
1,3,0,4,3
1,3,0,3,3
1,3,0,4,3
1,3,0,4,3
1,3,0,4,3
1,3,0,4,3
1,3,0,4,3
1,3,0,4,3
1,3,1,4,3
1,3,1,4,3
1,3,1,4,3
1,3,1,4,3
1,3,1,4,3
1,3,1,4,3
1,3,1,4,3
1,3,2,3,3
1,3,2,3,3
1,3,2,4,3
1,3,2,3,3
1,3,2,4,3
1,3,2,4,3
1,3,2,4,3
1,3,2,4,3
1,3,3,4,3
1,3,3,4,3
1,3,3,4,3
1,3,3,4,3
1,3,3,3,3
1,3,3,3,3
1,3,3,4,3
1,3,4,4,3
1,3,4,4,3
1,3,4,3,3
1,3,4,4,3
1,3,4,4,3
1,3,4,3,3
1,3,4,4,3
1,3,4,4,3
1,3,5,4,3
1,3,5,3,3
1,3,5,4,3
1,3,5,4,3
1,3,5,4,3
1,3,5,3,3
1,3,5,4,3
1,3,6,4,3
1,3,6,3,3
1,3,6,4,3
1,3,6,4,3
1,3,6,4,3
1,3,6,4,3
1,3,6,4,3
1,3,6,3,3
1,3,7,1003,503
1,3,7,1153,1003
1,3,7,1198,1062
1,3,7,1196,1060
1,3,7,1196,1063
1,3,7,1196,1065
1,3,7,1190,665
1,3,8,1199,1015
1,3,8,1199,1066
1,3,8,1200,1063
1,3,8,1199,1067
1,3,8,1200,1065
1,3,8,1199,1064
1,3,8,1201,1065
1,3,8,1199,1064
1,3,9,1199,1064
1,3,9,1201,1062
1,3,9,1199,1066
1,3,9,1200,1063
1,3,9,1199,1063
1,3,9,1199,1064
1,3,9,1200,1063
1,3,10,1201,1065
1,3,10,1199,1064
